"Home name",Long,Lat
Domov,15.348743,50.434047

,,"Product name","Product type",,,
,,Termostat,NATherm1,,,

Timestamp,"Timezone : Europe/Prague","Temperature °C","Setpoint Temperature °C","Boiler ON","Boiler OFF",
1767050100,"2025/12/30 00:15:00",19.1,18,0,1797,
1767051900,"2025/12/30 00:45:00",18.9,18,0,1807,
1767053700,"2025/12/30 01:15:00",18.8,18,0,1797,
1767055500,"2025/12/30 01:45:00",18.7,18,0,1797,
1767057300,"2025/12/30 02:15:00",18.6,18,0,1796,
1767059100,"2025/12/30 02:45:00",18.5,18,0,1808,
1767060900,"2025/12/30 03:15:00",18.4,18,0,1797,
1767062700,"2025/12/30 03:45:00",18.4,18,0,1796,
1767064500,"2025/12/30 04:15:00",18.3,18,0,1808,
1767066300,"2025/12/30 04:45:00",18.2,18,0,1797,
1767068100,"2025/12/30 05:15:00",18.1,18,0,1796,
1767069900,"2025/12/30 05:45:00",18.1,18,0,1808,
1767071700,"2025/12/30 06:15:00",18,18,236,1561,
1767073500,"2025/12/30 06:45:00",18.1,18,1183,613,
1767075300,"2025/12/30 07:15:00",18.4,19.1,1194,614,
1767077100,"2025/12/30 07:45:00",19,19.5,1797,0,
1767078900,"2025/12/30 08:15:00",19.8,19.5,495,1312,
1767080700,"2025/12/30 08:45:00",19.8,19.5,0,1797,
1767082500,"2025/12/30 09:15:00",19.8,19.5,0,1797,
1767084300,"2025/12/30 09:45:00",19.7,19.5,0,1807,
1767086100,"2025/12/30 10:15:00",19.7,19.5,0,1797,
1767087900,"2025/12/30 10:45:00",19.6,19.5,0,1797,
1767089700,"2025/12/30 11:15:00",19.6,19.5,0,1796,
1767091500,"2025/12/30 11:45:00",19.5,19.5,290,1518,
1767093300,"2025/12/30 12:15:00",19.6,19.5,1259,538,
1767095100,"2025/12/30 12:45:00",20.1,19.5,0,1796,
1767096900,"2025/12/30 13:15:00",20.3,19.5,0,1808,
1767098700,"2025/12/30 13:45:00",20.2,19.5,0,1797,
1767100500,"2025/12/30 14:15:00",20,19.5,0,1796,
1767102300,"2025/12/30 14:45:00",19.7,19.5,0,1808,
1767104100,"2025/12/30 15:15:00",19.6,19.5,0,1797,
1767105900,"2025/12/30 15:45:00",19.5,19.5,0,1796,
1767107700,"2025/12/30 16:15:00",19.5,19.5,1290,518,
1767109500,"2025/12/30 16:45:00",19.8,19.5,0,1797,
1767111300,"2025/12/30 17:15:00",19.7,19.5,0,1796,
1767113100,"2025/12/30 17:45:00",19.6,19.5,0,1808,
1767114900,"2025/12/30 18:15:00",19.5,19.5,194,1603,
1767116700,"2025/12/30 18:45:00",19.5,19.5,1226,570,
1767118500,"2025/12/30 19:15:00",19.8,19.5,0,1808,
1767120300,"2025/12/30 19:45:00",19.8,19.5,0,1797,
1767122100,"2025/12/30 20:15:00",19.7,19.5,0,1796,
1767123900,"2025/12/30 20:45:00",19.6,19.5,0,1808,
1767125700,"2025/12/30 21:15:00",19.5,19.5,474,1323,
1767127500,"2025/12/30 21:45:00",19.6,19.5,1076,720,
1767129300,"2025/12/30 22:15:00",19.8,18,0,1765,
1767131100,"2025/12/30 22:45:00",19.7,18,0,1797,
1767132900,"2025/12/30 23:15:00",19.6,18,0,1807,
1767134700,"2025/12/30 23:45:00",19.4,18,0,1797,
1767136500,"2025/12/31 00:15:00",19.2,18,0,1797,
1767138300,"2025/12/31 00:45:00",19,18,0,1807,
1767140100,"2025/12/31 01:15:00",18.9,18,0,1797,
1767141900,"2025/12/31 01:45:00",18.8,18,0,1797,
1767143700,"2025/12/31 02:15:00",18.7,18,0,1796,
1767145500,"2025/12/31 02:45:00",18.6,18,0,1808,
1767147300,"2025/12/31 03:15:00",18.5,18,0,1797,
1767149100,"2025/12/31 03:45:00",18.4,18,0,1796,
1767150900,"2025/12/31 04:15:00",18.3,18,0,1808,
1767152700,"2025/12/31 04:45:00",18.2,18,0,1797,
1767154500,"2025/12/31 05:15:00",18.1,18,0,1796,
1767156300,"2025/12/31 05:45:00",18.1,18,0,1808,
1767158100,"2025/12/31 06:15:00",18,18,0,1797,
1767159900,"2025/12/31 06:45:00",18,18,1387,409,
1767161700,"2025/12/31 07:15:00",18.3,19.1,1227,581,
